MonthlyIncome,Age,OverTime,TotalWorkingYears,DailyRate,HourlyRate,MonthlyRate,EmployeeNumber,DistanceFromHome,YearsAtCompany,NumCompaniesWorked,PercentSalaryHike,YearsWithCurrManager,EnvironmentSatisfaction,JobRole,Attrition
2871,22,No,1,534,59,23785,144,15,0,1,15,0,Medium,Laboratory Technician,No
7484,51,No,23,1456,30,25796,145,1,13,3,20,8,Low,Healthcare Representative,No
6074,34,Yes,9,658,66,22887,147,7,9,1,24,6,Low,Laboratory Technician,Yes
17328,54,Yes,23,142,30,13871,148,26,5,2,12,4,Very High,Manager,No
2774,24,No,6,1127,52,13257,150,18,5,0,12,2,Medium,Laboratory Technician,No
4505,34,No,12,1031,45,15000,151,6,1,6,15,0,High,Research Scientist,No
7428,37,No,12,1189,87,14506,152,3,5,2,12,3,High,Sales Executive,No
11631,34,No,14,1354,45,5615,153,5,11,2,12,8,High,Manager,No
9738,36,No,10,1467,92,22952,154,11,9,0,14,8,Medium,Sales Executive,No
2835,36,No,7,922,39,2561,155,3,1,5,22,0,Low,Laboratory Technician,No
16959,43,Yes,25,394,92,19494,158,26,25,1,12,12,High,Manager,No
2613,30,No,10,1312,96,22310,159,23,10,1,25,9,Low,Research Scientist,No
6146,33,No,8,750,95,15480,160,22,7,0,13,7,High,Sales Executive,No
4963,56,Yes,7,441,72,4510,161,14,5,9,18,3,Medium,Research Scientist,Yes
19537,51,No,23,684,51,6462,162,6,20,7,13,15,Low,Research Director,No
6172,31,Yes,12,249,76,20739,163,6,7,4,18,7,Medium,Sales Executive,Yes
2368,26,No,5,841,46,23300,164,6,5,1,19,3,High,Research Scientist,No
10312,58,No,40,147,94,3465,165,23,40,1,12,6,Very High,Healthcare Representative,Yes
1675,19,Yes,0,528,50,26820,167,22,0,1,19,0,Very High,Sales Representative,Yes
2523,22,No,3,594,100,19299,169,2,2,0,14,1,High,Laboratory Technician,No
6567,49,No,16,470,96,5549,170,20,15,1,14,11,High,Manufacturing Director,No
4739,43,No,18,957,72,16090,171,28,3,4,12,2,Medium,Research Scientist,No
9208,50,No,16,809,77,6645,174,12,2,4,11,1,High,Sales Executive,No
4559,31,Yes,4,542,71,24788,175,20,2,3,11,2,Medium,Sales Executive,Yes
8189,41,Yes,12,802,96,21196,176,9,9,3,13,7,High,Sales Executive,No
2942,26,No,8,1355,61,8916,177,25,8,1,23,7,High,Human Resources,No
4941,36,No,7,216,84,2819,178,6,3,6,20,1,Medium,Manufacturing Director,No
10650,51,No,18,1150,53,25150,179,8,4,2,15,3,Low,Manufacturing Director,Yes
5902,39,No,17,1329,47,14590,182,4,15,4,14,9,Very High,Sales Executive,No
8639,25,No,6,959,41,24835,183,28,2,2,18,2,Low,Sales Executive,No
6347,30,Yes,12,1240,48,13982,184,9,11,0,19,7,High,Human Resources,No
4200,32,No,10,1033,41,10224,190,9,5,7,22,4,Low,Laboratory Technician,Yes
3452,45,No,9,1316,83,9752,192,29,6,5,13,3,High,Research Scientist,No
4317,38,Yes,19,364,32,2302,193,3,3,3,20,2,Very High,Research Scientist,No
2632,30,No,5,438,75,23910,194,18,5,1,14,4,Low,Research Scientist,No
4668,32,No,9,689,35,22812,195,9,8,0,17,7,Very High,Sales Executive,No
3204,30,No,8,201,84,10415,197,5,3,5,14,2,Very High,Research Scientist,No
2720,30,No,6,1427,35,11162,198,2,5,0,13,2,Medium,Laboratory Technician,No
17181,41,No,21,857,91,12888,199,10,7,4,13,7,Very High,Manager,No
2238,41,No,7,933,94,6961,200,9,5,2,21,4,High,Laboratory Technician,No
1483,19,No,1,1181,79,16102,201,3,1,1,14,0,Medium,Laboratory Technician,No
5605,40,No,20,1395,54,8504,202,26,20,1,11,13,Medium,Research Scientist,No
7295,35,No,10,662,94,11439,204,1,10,1,13,6,High,Sales Executive,No
2306,53,Yes,13,1436,34,16047,205,6,7,2,20,5,Medium,Sales Representative,No
2348,45,No,20,194,60,10901,206,9,17,8,18,15,Medium,Laboratory Technician,No
8998,32,No,9,967,43,15589,207,8,9,1,14,7,Medium,Sales Executive,No
4319,29,No,10,1496,41,26283,208,1,10,1,13,9,Very High,Manufacturing Director,No
6132,51,No,10,1169,34,13983,211,7,1,2,17,0,Medium,Manufacturing Director,No
3346,58,Yes,9,1145,75,11873,214,9,1,4,20,0,Medium,Research Scientist,No
10855,40,No,15,630,67,8552,215,4,12,7,11,11,High,Sales Executive,No
2231,34,No,6,303,75,11314,216,2,4,6,18,2,High,Sales Representative,No
2323,22,No,2,1256,80,11992,217,19,2,1,24,2,High,Research Scientist,No
2024,27,No,6,691,57,5970,218,9,2,6,18,2,Very High,Research Scientist,No
2713,28,No,5,440,42,6672,221,21,5,1,11,2,High,Research Scientist,No
9439,57,Yes,12,334,83,23402,223,24,5,3,16,4,High,Healthcare Representative,No
2566,27,Yes,1,1450,79,25326,224,3,1,1,15,1,High,Research Scientist,No
19926,50,No,21,1452,53,17053,226,11,5,3,15,4,High,Manager,No
2451,41,No,13,465,56,4609,227,14,9,4,12,8,Low,Research Scientist,No
9419,30,No,12,1339,41,8053,228,5,10,2,12,4,Medium,Sales Executive,No
8686,38,No,12,702,59,12930,230,1,8,4,22,7,Low,Sales Executive,No
3038,32,No,8,120,43,12430,231,6,5,3,20,4,High,Research Scientist,No
3058,27,Yes,6,1157,51,13364,233,17,5,0,16,1,High,Research Scientist,No
2325,19,No,1,602,100,20989,235,1,0,0,21,0,High,Sales Representative,Yes
2088,36,No,13,1480,30,15062,238,3,8,4,12,2,Very High,Laboratory Technician,No
3072,30,No,12,111,66,11012,239,9,12,1,11,10,High,Laboratory Technician,No
5006,45,Yes,9,1268,30,6319,240,4,5,4,11,3,High,Sales Executive,No
4257,56,Yes,19,713,67,13939,241,8,2,4,18,2,High,Research Scientist,No
2500,33,No,4,134,90,10515,242,2,3,0,14,2,High,Research Scientist,No
1102,19,No,1,303,47,9241,243,2,1,1,22,0,Medium,Laboratory Technician,Yes
10453,46,No,24,526,92,2137,244,1,24,1,25,7,Medium,Sales Executive,No
2288,38,No,2,1380,75,6319,245,9,2,1,12,1,High,Laboratory Technician,No
3929,31,Yes,7,140,95,6984,246,12,4,8,23,2,High,Research Scientist,No
2311,34,No,9,629,95,5711,247,27,3,2,15,2,Very High,Research Scientist,No
3140,41,Yes,4,1356,70,21728,248,20,4,1,22,2,Medium,Sales Representative,Yes
3690,50,No,5,328,86,3425,249,1,3,2,15,2,High,Laboratory Technician,No
4450,53,No,5,1084,57,26250,250,13,4,1,11,3,Very High,Manufacturing Director,No
2756,33,No,8,931,72,4673,252,14,8,1,13,6,Very High,Research Scientist,No
19033,40,No,21,989,46,6499,253,4,20,1,14,9,Very High,Manager,No
18722,55,No,36,692,61,13339,254,14,24,8,11,15,High,Research Director,No
9547,34,No,10,1069,45,14074,256,2,10,1,17,9,Very High,Manufacturing Director,No
13734,51,No,21,313,98,7192,258,3,7,3,18,0,Very High,Healthcare Representative,No
19999,52,No,34,699,65,5678,259,1,33,0,14,9,High,Manager,No
2279,27,No,7,894,99,11781,260,9,7,1,16,3,Very High,Research Scientist,No
5916,35,Yes,8,556,50,15497,261,23,1,3,13,1,Medium,Manufacturing Director,Yes
2089,43,No,7,1344,37,5228,262,7,5,4,14,2,Very High,Research Scientist,No
16792,45,No,22,1195,65,20462,264,2,20,9,23,8,Low,Manager,No
3564,37,Yes,8,290,65,22977,267,21,8,1,12,7,Medium,Research Scientist,No
4425,35,No,10,138,37,15986,269,2,6,5,11,2,Medium,Laboratory Technician,No
5265,42,No,11,926,36,16439,270,21,5,2,16,2,High,Manufacturing Director,No
6553,38,No,14,1261,88,7259,271,2,1,9,14,0,Very High,Manufacturing Director,No
6261,38,No,9,1084,54,4185,273,29,7,3,18,7,Very High,Manufacturing Director,No
4298,27,No,6,472,60,9679,274,1,2,5,19,0,High,Manufacturing Director,No
6804,49,Yes,7,1002,92,23793,275,18,7,1,15,7,Very High,Manufacturing Director,No
3815,34,Yes,5,878,43,5972,277,10,5,1,17,0,Very High,Research Scientist,No
2741,40,Yes,15,905,99,16523,281,19,7,8,15,7,High,Laboratory Technician,No
6673,38,Yes,17,1180,70,11354,282,29,1,7,19,0,Medium,Healthcare Representative,Yes
7639,29,No,10,121,35,24525,283,27,10,1,22,9,Medium,Sales Executive,Yes
2328,22,Yes,4,1136,60,12392,284,5,4,1,16,2,Very High,Research Scientist,No
2153,36,No,8,635,73,7703,286,18,8,1,13,7,Medium,Laboratory Technician,No
4876,40,No,5,1151,63,14242,287,9,3,9,14,2,Very High,Healthcare Representative,No
9396,46,No,17,644,97,12368,288,1,4,7,16,3,Very High,Healthcare Representative,No
10400,32,No,14,1045,32,25812,291,4,14,1,11,8,Very High,Sales Executive,Yes
8474,30,No,12,829,88,20925,292,1,11,1,22,8,High,Manufacturing Director,No
9981,27,No,7,1242,90,12916,293,20,7,1,14,7,Very High,Sales Executive,No
12490,51,No,16,1469,81,15736,296,8,10,5,16,7,Medium,Research Director,No
2657,30,Yes,8,1005,88,8556,297,3,5,5,11,4,Very High,Research Scientist,Yes
13591,41,Yes,16,896,75,14674,298,6,1,3,18,0,Very High,Manager,No
6696,30,No,9,334,52,22967,299,26,6,5,15,1,High,Sales Executive,Yes
2058,29,No,7,992,85,19757,300,1,6,0,14,5,High,Research Scientist,Yes
8865,45,No,23,1052,57,16840,302,6,19,6,12,8,Very High,Sales Executive,No
5940,54,No,16,1147,52,17011,303,3,6,2,14,5,Very High,Sales Executive,No
5914,36,No,16,1396,62,9945,304,5,13,8,16,7,Very High,Laboratory Technician,No
2622,33,No,7,147,47,13248,305,4,3,6,21,1,High,Research Scientist,No
12185,37,Yes,10,663,47,10056,306,11,10,1,14,7,Medium,Research Director,No
10609,38,No,17,119,76,9647,307,3,16,0,12,13,Low,Sales Executive,No
4345,31,No,6,979,90,4381,308,1,5,0,12,4,High,Manufacturing Director,No
2177,59,No,7,142,70,8456,309,3,1,3,17,0,High,Research Scientist,No
2793,37,No,13,319,41,2539,311,4,9,4,17,8,Low,Sales Representative,No
7918,29,No,11,1413,42,6599,312,1,11,1,14,1,Medium,Sales Executive,No
8789,35,No,10,944,92,9096,314,1,10,1,14,8,High,Sales Executive,No
2389,29,Yes,4,896,86,14961,315,18,4,1,13,1,High,Research Scientist,Yes
3212,52,No,6,1323,89,3300,316,2,2,7,15,2,High,Laboratory Technician,No
19232,42,No,22,532,58,4933,319,4,22,1,11,15,High,Manager,No
2267,59,No,7,818,52,25657,321,6,2,8,17,2,Medium,Human Resources,No
19517,50,No,32,854,68,24118,323,1,7,3,11,6,Very High,Manager,No
2436,33,Yes,8,813,58,22149,325,14,5,5,13,4,High,Laboratory Technician,Yes
16064,43,Yes,22,1034,80,7744,327,16,17,5,22,9,Very High,Manager,No
2707,33,No,13,465,39,21509,328,2,9,7,20,7,Low,Laboratory Technician,Yes
19068,52,Yes,33,771,79,21030,329,2,33,1,18,12,Low,Manager,No
3931,32,No,6,1401,56,20990,330,4,4,2,11,2,High,Sales Representative,No
3730,32,Yes,4,515,62,9571,331,1,3,0,14,2,Very High,Laboratory Technician,Yes
2232,39,No,7,1431,96,15417,332,1,3,7,14,2,High,Laboratory Technician,No
4465,32,No,4,976,100,12069,333,26,3,0,18,2,High,Sales Executive,No
3072,41,No,17,1411,36,19877,334,19,1,2,16,0,High,Research Scientist,No
3319,40,No,9,1300,62,24447,335,24,9,1,17,7,Low,Research Scientist,No
19202,45,No,25,252,70,15970,336,1,24,0,11,7,High,Manager,No
13675,31,No,9,1327,73,13523,337,3,2,9,12,2,Medium,Research Director,No
2911,33,No,2,832,63,14776,338,5,2,1,13,2,High,Research Scientist,No
5957,34,No,13,470,84,23687,339,2,11,6,13,9,Very High,Manufacturing Director,No
3920,37,No,17,1017,83,18697,340,1,3,2,14,2,High,Research Scientist,No
6434,45,No,9,1199,77,5118,341,7,3,4,17,2,Low,Manufacturing Director,No
10048,37,No,17,504,61,22573,342,10,1,6,11,0,Low,Manufacturing Director,Yes
10938,39,No,20,505,64,6420,343,2,19,0,25,8,High,Healthcare Representative,No
2340,29,No,6,665,60,22673,346,15,6,1,19,5,High,Research Scientist,No
6545,42,Yes,10,916,82,23016,347,17,3,3,13,2,Very High,Research Scientist,No
6931,29,No,10,1247,45,10732,349,20,3,2,14,2,Very High,Sales Executive,No
4898,25,No,5,685,62,7505,350,1,4,0,12,2,Low,Manufacturing Director,No
2593,42,Yes,10,269,56,8007,351,2,9,0,11,8,Very High,Laboratory Technician,No
19436,40,No,22,1416,49,5949,352,2,21,0,19,9,Low,Research Director,No
2723,51,No,1,833,96,23231,353,1,1,1,11,0,High,Research Scientist,No
3479,31,No,6,307,71,11652,355,29,5,0,11,4,High,Laboratory Technician,Yes
2794,32,No,5,1311,100,26062,359,7,5,1,20,3,Medium,Laboratory Technician,No
5249,38,No,13,1327,39,19682,361,2,8,3,18,5,Very High,Sales Executive,No
2176,32,No,9,128,84,19737,362,2,6,4,13,4,Very High,Laboratory Technician,No
16872,46,Yes,28,488,75,14977,363,2,7,3,12,7,High,Manager,No
3485,28,No,5,529,79,14935,364,2,0,2,11,0,Low,Laboratory Technician,Yes
6644,29,No,10,1210,78,3687,366,2,0,2,19,0,Low,Sales Executive,No
5582,31,No,10,1463,64,14408,367,23,9,0,21,8,Medium,Healthcare Representative,No
4000,25,No,6,675,85,18384,369,5,6,1,12,5,Medium,Healthcare Representative,No
13496,45,Yes,21,1385,79,7501,372,20,20,0,14,10,High,Healthcare Representative,No
3210,36,No,16,1403,47,20251,373,6,15,0,11,11,Very High,Laboratory Technician,No
19045,55,Yes,37,452,81,18938,374,1,36,0,14,13,Very High,Manager,No
11849,47,Yes,10,666,88,10268,376,29,10,1,12,9,Low,Manager,Yes
2070,28,No,5,1158,94,2613,377,9,5,1,23,4,Very High,Research Scientist,No
6502,37,No,7,228,98,22825,378,6,5,4,14,1,High,Sales Executive,No
3230,21,No,3,996,100,10531,379,3,3,1,17,0,Very High,Research Scientist,No
13603,37,Yes,15,728,80,11677,380,1,5,2,18,2,Low,Research Director,No
11996,35,No,10,1315,71,19100,381,22,7,7,18,2,Medium,Manager,No
5605,38,Yes,8,322,44,19191,382,7,8,1,24,7,Low,Sales Executive,No
6397,26,No,6,1479,84,26767,384,1,6,1,20,4,High,Manufacturing Director,No
19144,50,No,28,797,96,15815,385,4,10,3,14,6,Low,Research Director,No
17584,53,Yes,21,1070,45,21016,386,3,5,3,16,3,High,Research Director,No
4907,42,No,20,635,99,24532,387,1,20,1,25,6,Medium,Sales Executive,No
4554,29,No,10,442,44,20260,388,2,10,1,18,9,Medium,Sales Executive,No
5415,55,Yes,12,147,37,15972,389,20,10,3,19,8,Medium,Laboratory Technician,No
4741,26,Yes,5,496,60,22722,390,11,5,1,13,3,Low,Healthcare Representative,No
2115,37,No,17,1372,42,15881,391,1,17,1,12,7,Very High,Research Scientist,No
3161,44,Yes,19,920,43,19920,392,24,1,3,22,0,Very High,Laboratory Technician,Yes
5745,38,No,10,688,82,18899,393,23,2,9,14,2,Very High,Healthcare Representative,No
2373,26,Yes,5,1449,45,14180,394,16,3,2,13,2,Low,Laboratory Technician,Yes
3310,28,No,5,1117,66,4488,395,8,5,1,21,2,Very High,Research Scientist,No
18665,49,Yes,22,636,35,25594,396,10,3,9,11,2,High,Research Director,No
4485,36,No,10,506,30,26285,397,3,8,4,12,7,High,Research Scientist,No
2789,31,No,2,444,84,3909,399,5,2,1,11,2,Very High,Sales Representative,No
5828,26,Yes,8,950,48,8450,401,4,8,1,12,4,Very High,Sales Executive,Yes
2326,37,Yes,4,889,53,11411,403,9,4,1,12,2,Medium,Research Scientist,No
13525,42,No,23,555,77,14864,404,26,20,5,14,8,High,Sales Executive,No
1420,18,No,0,230,54,25233,405,3,0,1,13,0,High,Laboratory Technician,Yes
8020,35,No,12,1232,96,5100,406,16,11,0,15,9,High,Sales Executive,No
3688,36,No,4,566,81,7122,407,18,1,4,18,0,High,Laboratory Technician,No
5482,51,No,13,1302,84,16321,408,2,4,5,18,2,Very High,Manufacturing Director,No
16015,41,No,22,334,88,15896,410,2,22,1,19,4,Very High,Manager,No
1200,18,No,0,812,69,9724,411,10,0,1,12,0,Very High,Sales Representative,No
5661,28,No,9,1476,68,4824,412,16,8,0,19,7,Medium,Healthcare Representative,No
6929,31,No,10,218,100,12241,416,7,8,4,11,7,Medium,Sales Executive,No
9613,39,No,19,1132,48,10942,417,1,18,0,17,7,High,Healthcare Representative,No
5674,36,No,11,1105,47,6927,419,24,9,7,15,8,Medium,Laboratory Technician,No
5484,32,No,13,906,91,16985,420,7,13,1,14,8,Very High,Sales Executive,No
12061,38,No,19,849,81,26707,421,25,10,3,17,1,Low,Research Director,No
5660,58,Yes,12,390,32,17056,422,1,5,2,13,2,Very High,Healthcare Representative,No
4821,31,Yes,6,691,86,10077,423,5,5,0,12,3,High,Research Scientist,No
6410,31,No,9,106,62,17822,424,2,2,3,12,0,Low,Human Resources,No
5210,45,No,24,1249,97,20308,425,7,24,1,18,11,Low,Laboratory Technician,No
2695,31,Yes,3,192,32,7747,426,2,2,0,18,2,High,Research Scientist,No
11878,33,No,12,553,74,23364,428,5,10,6,11,8,Very High,Manager,No
17068,39,Yes,21,117,99,5355,429,10,21,1,14,10,High,Manager,No
2455,43,No,9,185,33,10675,430,10,8,0,19,7,High,Laboratory Technician,No
13964,49,Yes,25,1091,90,17810,431,1,7,7,12,7,High,Healthcare Representative,No
4941,52,No,11,723,85,17747,433,8,8,2,15,7,High,Research Scientist,Yes
2478,27,Yes,4,1220,85,20938,434,5,4,1,12,2,High,Research Scientist,No
5228,32,Yes,13,588,65,24624,436,8,13,1,11,9,High,Sales Executive,No
4478,27,Yes,5,1377,74,5242,437,2,5,1,11,4,Very High,Sales Executive,No
7547,31,No,13,691,73,7143,438,7,7,4,12,7,Very High,Sales Executive,No
5055,32,No,10,1018,74,10557,439,2,7,7,16,7,Low,Research Scientist,No
3464,28,Yes,5,1157,84,24737,440,2,3,5,13,2,Low,Research Scientist,Yes
5775,30,No,11,1275,64,11934,441,28,10,1,13,9,Very High,Research Scientist,No
8943,31,No,10,798,48,14034,442,7,10,1,24,9,High,Manufacturing Director,No
19272,39,No,21,672,54,21141,444,7,21,1,15,3,High,Manager,No
5238,39,Yes,12,1162,41,17778,445,3,1,4,18,0,Very High,Sales Executive,Yes
